"filename", "language", "JavaScript", "comment", "blank", "total"
"e:\demo\src\controllers\errController.js", "JavaScript", 10, 1, 3, 14
"e:\demo\src\controllers\userController.js", "JavaScript", 90, 1, 8, 99
"e:\demo\src\models\UserModel.js", "JavaScript", 60, 4, 8, 72
"e:\demo\src\routes\userRouter.js", "JavaScript", 14, 0, 5, 19
"e:\demo\src\utils\customErr.js", "JavaScript", 9, 2, 5, 16
"e:\demo\src\utils\queryTool.js", "JavaScript", 37, 0, 10, 47
"Total", "-", 220, 8, 39, 267
