"filename", "language", "JavaScript", "comment", "blank", "total"
"e:\demo\src\controllers\errController.js", "JavaScript", 10, 1, 3, 14
"e:\demo\src\controllers\userController.js", "JavaScript", -5, 0, -1, -6
"e:\demo\src\models\UserModel.js", "JavaScript", 11, 0, 1, 12
"e:\demo\src\utils\QueryTool.js", "JavaScript", -38, -1, -9, -48
"e:\demo\src\utils\customErr.js", "JavaScript", 9, 2, 5, 16
"e:\demo\src\utils\queryTool.js", "JavaScript", 37, 0, 10, 47
"Total", "-", 24, 2, 9, 35
