"filename", "language", "JavaScript", "comment", "blank", "total"
"e:\demo\src\controllers\userController.js", "JavaScript", 95, 1, 9, 105
"e:\demo\src\models\UserModel.js", "JavaScript", 49, 4, 7, 60
"e:\demo\src\routes\userRouter.js", "JavaScript", 14, 0, 5, 19
"e:\demo\src\utils\QueryTool.js", "JavaScript", 38, 1, 9, 48
"Total", "-", 196, 6, 30, 232
