"filename", "language", "JavaScript", "comment", "blank", "total"
"e:\demo\src\controllers\userController.js", "JavaScript", 0, 0, -1, -1
"e:\demo\src\models\UserModel.js", "JavaScript", 23, 3, 3, 29
"e:\demo\src\utils\QueryTool.js", "JavaScript", 0, 0, -1, -1
"Total", "-", 23, 3, 1, 27
